Time,Pure Pursuit,Stanley,Stanley with lookahead,Hybrid Stanley and Pure Pursuit
0.0,0.0,0.0,0.0,0.0
0.1,0.0,-1.592040838891559e-16,-1.592040838891559e-16,-1.592040838891559e-16
0.2,0.0,-1.7145055188062946e-16,-1.7145055188062946e-16,-1.7145055188062946e-16
0.30000000000000004,0.0,-1.83697019872103e-16,-1.83697019872103e-16,-1.83697019872103e-16
0.4,0.0,-1.959434878635765e-16,-1.959434878635765e-16,-1.959434878635765e-16
0.5,0.0,-2.0818995585505005e-16,-2.0818995585505005e-16,-2.0818995585505005e-16
0.6000000000000001,0.0,-2.2043642384652358e-16,-2.2043642384652358e-16,-2.2043642384652358e-16
0.7000000000000001,0.0,-2.3268289183799714e-16,-2.3268289183799714e-16,-2.3268289183799714e-16
0.8,0.0,-2.4492935982947064e-16,-2.4492935982947064e-16,-2.4492935982947064e-16
0.9,0.0,-2.571758278209442e-16,-2.571758278209442e-16,-2.571758278209442e-16
1.0,0.0,-2.6942229581241775e-16,-2.6942229581241775e-16,-2.6942229581241775e-16
1.1,0.0,-2.816687638038913e-16,-2.816687638038913e-16,-2.816687638038913e-16
1.2000000000000002,-3.8449282238100674e-16,-2.939152317953648e-16,-2.939152317953648e-16,-2.939152317953648e-16
1.3,-3.8560568149064784e-16,-3.061616997868383e-16,-3.061616997868383e-16,-3.061616997868383e-16
1.4000000000000001,-3.850484478468752e-16,-3.1840816777831187e-16,-3.1840816777831187e-16,-3.1840816777831187e-16
1.5,-3.844928223810068e-16,-3.306546357697854e-16,-3.306546357697854e-16,-3.306546357697854e-16
1.6,-3.8560568149064794e-16,-3.42901103761259e-16,-3.42901103761259e-16,-3.42901103761259e-16
1.7000000000000002,-3.850484478468753e-16,-3.551475717527325e-16,-3.551475717527325e-16,-3.551475717527325e-16
1.8,-3.844928223810069e-16,-3.67394039744206e-16,-3.67394039744206e-16,-3.67394039744206e-16
1.9000000000000001,-3.85605681490648e-16,-3.796405077356795e-16,-3.796405077356795e-16,-3.796405077356795e-16
2.0,-3.850484478468753e-16,-3.91886975727153e-16,-3.91886975727153e-16,-3.91886975727153e-16
2.1,-3.844928223810068e-16,-4.0413344371862655e-16,-4.0413344371862655e-16,-4.0413344371862655e-16
2.2,-3.8560568149064784e-16,-4.1637991171010006e-16,-4.1637991171010006e-16,-4.1637991171010006e-16
2.3000000000000003,-3.8504844784687515e-16,-4.2862637970157356e-16,-4.2862637970157356e-16,-4.2862637970157356e-16
2.4000000000000004,-3.844928223810067e-16,-4.4087284769304707e-16,-4.4087284769304707e-16,-4.4087284769304707e-16
2.5,-3.8560568149064775e-16,-4.531193156845206e-16,-4.531193156845206e-16,-4.531193156845206e-16
2.6,-3.8504844784687506e-16,-4.653657836759941e-16,-4.653657836759941e-16,-4.653657836759941e-16
2.7,-3.8616453030440226e-16,-4.776122516674676e-16,-4.776122516674676e-16,-4.776122516674676e-16
2.8000000000000003,-3.8560568149064765e-16,-4.898587196589411e-16,-4.898587196589411e-16,-4.898587196589411e-16
2.9000000000000004,-3.850484478468749e-16,-5.021051876504146e-16,-5.021051876504146e-16,-5.021051876504146e-16
3.0,-3.8616453030440217e-16,-5.143516556418882e-16,-5.143516556418882e-16,-5.143516556418882e-16
3.1,-3.856056814906475e-16,-5.2659812363336165e-16,-5.2659812363336165e-16,-5.2659812363336165e-16
3.2,-3.850484478468748e-16,-5.388445916248352e-16,-5.388445916248352e-16,-5.388445916248352e-16
3.3000000000000003,-3.86164530304402e-16,-5.510910596163087e-16,-5.510910596163087e-16,-5.510910596163087e-16
3.4000000000000004,-3.856056814906474e-16,-5.633375276077822e-16,-5.633375276077822e-16,-5.633375276077822e-16
3.5,-3.850484478468747e-16,-5.755839955992558e-16,-5.755839955992558e-16,-5.755839955992558e-16
3.6,-3.861645303044019e-16,-5.878304635907292e-16,-5.878304635907292e-16,-5.878304635907292e-16
3.7,-3.8560568149064725e-16,-6.000769315822028e-16,-6.000769315822028e-16,-6.000769315822028e-16
3.8000000000000003,-3.8504844784687456e-16,-6.123233995736762e-16,-6.123233995736762e-16,-6.123233995736762e-16
3.9000000000000004,-3.861645303044018e-16,-6.245698675651498e-16,-6.245698675651498e-16,-6.245698675651498e-16
4.0,-3.8560568149064725e-16,-6.368163355566233e-16,-6.368163355566233e-16,-6.368163355566233e-16
4.1000000000000005,-3.850484478468747e-16,-6.490628035480968e-16,-6.490628035480968e-16,-6.490628035480968e-16
4.2,-3.86164530304402e-16,-6.613092715395704e-16,-6.613092715395704e-16,-6.613092715395704e-16
4.3,-3.856056814906475e-16,-6.735557395310438e-16,-6.735557395310438e-16,-6.735557395310438e-16
4.4,-3.850484478468749e-16,-6.858022075225174e-16,-6.858022075225174e-16,-6.858022075225174e-16
4.5,-3.8616453030440226e-16,-6.980486755139908e-16,-6.980486755139908e-16,-6.980486755139908e-16
4.6000000000000005,-3.8560568149064775e-16,-7.102951435054644e-16,0.13220726951505346,-7.102951435054644e-16
4.7,0.005025111953648473,-7.225416114969379e-16,0.19292639215118174,-7.225416114969379e-16
4.800000000000001,0.01933624334734981,0.041336745441970565,0.24594326898381524,0.041336745441970565
4.9,0.041464330079178345,0.11980556754641504,0.2925272824039952,0.11980556754641504
5.0,0.07007692167006946,0.1902697147952,0.3336820323506345,0.1902697147952
5.1000000000000005,0.10396878035143492,0.25340906243100203,0.37024918241785465,0.25340906243100203
5.2,0.17856060976875276,0.3097378115028031,0.40295782332649105,0.3097378115028031
5.300000000000001,0.21675833801551408,0.35975052433136034,0.43244627808877184,0.35975052433136034
5.4,0.2566785033773239,0.4039869405973748,0.4592716355817105,0.4039869405973748
5.5,0.2976854634347653,0.4430455759422137,0.4839153174324765,0.4430455759422137
5.6000000000000005,0.33919548681650913,0.47756680956031294,0.5067885624177491,0.47756680956031294
5.7,0.3806776331089177,0.6958045277176759,0.7362164995366172,0.6958045277176759
5.800000000000001,0.42165573727273514,0.6453636177110614,0.6532821806022584,0.6453636177110614
5.9,0.4971191773556483,0.6242016333494217,0.6232987876301161,0.6242016333494217
6.0,0.5298820386102252,0.7853981633974483,0.7853981633974483,0.7853981633974483
6.1000000000000005,0.5615545327876581,0.7477771383370736,0.7853981633974483,0.7477771383370736
6.2,0.6188034836918378,0.6935624128498026,0.7613239827473421,0.6935624128498026
6.300000000000001,0.6251664355442551,0.7853981633974483,0.6734752879734086,0.7853981633974483
6.4,0.6496812264627214,0.7853981633974483,0.612075151063997,0.7853981633974483
6.5,0.6627115449052831,0.7415132877241758,0.5529436029136603,0.7415132877241758
6.6000000000000005,0.6671256381599374,0.6543062270486105,0.5096087975569435,0.6543062270486105
6.7,0.6657967400333269,0.5810193131277475,0.46130687194590214,0.5810193131277475
6.800000000000001,0.6594492228387242,0.5213378382606554,0.42409260923789294,0.5213378382606554
6.9,0.6493450140124065,0.47529350273964555,0.39323779754140037,0.47529350273964555
7.0,0.6357650824361409,0.42610743033000187,0.36110044084876436,0.42610743033000187
7.1000000000000005,0.6191124515443703,0.39229499682027236,0.32932044646946224,0.39229499682027236
7.2,0.599757727723387,0.35792948394299123,0.307913615353097,0.35792948394299123
7.300000000000001,0.5792665955658696,0.32871226017118416,0.2839456382913541,0.32871226017118416
7.4,0.5554490898874487,0.3031097698024238,0.26334301671306903,0.3031097698024238
7.5,0.5298836933876883,0.2765036283793673,0.24514061761679348,0.2765036283793673
7.6000000000000005,0.5028759070191036,0.2537016723979633,0.22524753098898162,0.2537016723979633
7.7,0.4747249597890284,0.23688052921610012,0.2116539198584229,0.23688052921610012
7.800000000000001,0.4457252301884619,0.2178573572437866,0.19567621913921876,0.2178573572437866
7.9,0.41616599870309007,0.20092344904942316,0.18463420398300923,0.20092344904942316
8.0,0.3863297347851782,0.1856658936499236,0.17113071098772326,0.1856658936499236
8.1,0.35486973660061477,0.1717910020399046,0.159207247467796,0.1717910020399046
8.200000000000001,0.3255535695369379,0.15908582843942054,0.14851103343816557,0.15908582843942054
8.3,0.2967297406913749,0.1473927446814953,0.13879512215523704,0.1473927446814953
8.4,0.26710039018828613,0.13659235507384776,0.12988435536607745,0.13659235507384776
8.5,0.24017682992983785,0.12488427516198003,0.12165264970509575,0.12488427516198003
8.6,0.21291898072321985,0.1162560986186688,0.11400766155333827,0.1162560986186688
8.700000000000001,0.1872165612478152,0.10811537019252104,0.10688034748981357,0.10811537019252104
8.8,0.16437749712962516,0.10045465906875964,0.10021781840598207,0.10045465906875964
8.9,0.14172761036572606,0.09200329355183035,0.09397843220354231,0.09200329355183035
9.0,0.12187724748419705,0.08573943336853983,0.08671359130751265,0.08573943336853983
9.1,0.10244363991323187,0.07978431350246801,0.08178763294370099,0.07978431350246801
9.200000000000001,0.08474148183012085,0.07415078877198464,0.07702818282833084,0.07415078877198464
9.3,0.06953301377872587,0.06791520876727365,0.07246186856556346,0.06791520876727365
9.4,0.05492194201531024,0.06328024181476806,0.06700584363462289,0.06328024181476806
9.5,0.041879686412796116,0.05886854912788154,0.06329999029051919,0.05886854912788154
9.600000000000001,0.030319867814818786,0.053954975279214994,0.05968067268047904,0.053954975279214994
9.700000000000001,0.020665330154202684,0.050297598857823145,0.056182384258733696,0.050297598857823145
9.8,0.011645704492957208,0.046806889905752116,0.051974090210900006,0.046806889905752116
9.9,0.003847050395156363,0.04290956847394619,0.0491118622338033,0.04290956847394619
10.0,-0.0024905735980905812,0.04000606410431673,0.04630922681514202,0.04000606410431673
10.100000000000001,-0.008243526940044824,0.03723200027214413,0.04289042038252637,0.03723200027214413
10.200000000000001,-0.013045329347863406,0.034132669863994256,0.04056470833286661,0.034132669863994256
10.3,-0.016787819644581575,0.03182241075175895,0.038274357175876905,0.03182241075175895
10.4,-0.020027486541085847,0.029614571645371915,0.03546433573834197,0.029614571645371915
10.5,-0.022564192758092256,0.02714795572858901,0.03355200814522953,0.02714795572858901
10.600000000000001,-0.024380081922055874,0.02530874291162516,0.031664425862621345,0.02530874291162516
10.700000000000001,-0.025785830633834536,0.023551167994081655,0.02934371350928968,0.023551167994081655
10.8,-0.026654678576146076,0.021588136025525992,0.02776379248697882,0.021588136025525992
10.9,-0.027172994752409536,0.02012417444247731,0.0262030644617179,0.02012417444247731
11.0,-0.02731799431271451,0.018725413452698996,0.02428309673256119,0.018725413452698996
11.100000000000001,-0.027153659530281208,0.0171636073714516,0.022975636837405902,0.0171636073714516
11.200000000000001,-0.026725375649423115,0.015998790071651232,0.021683806904619102,0.015998790071651232
11.3,-0.026070809394912887,0.014886029573148002,0.020094595413040785,0.014886029573148002
