Time,Pure Pursuit,Stanley,Stanley with lookahead,Hybrid Stanley and Pure Pursuit
0.0,0.0,0.0,0.0,0.0
0.1,0.0,-1.0042103753008296e-16,-1.0042103753008296e-16,-1.0042103753008296e-16
0.2,0.0,-1.224646799147353e-17,-1.224646799147353e-17,-1.224646799147353e-17
0.30000000000000004,0.0,-1.224646799147353e-17,-1.224646799147353e-17,-1.224646799147353e-17
0.4,0.0,-1.224646799147353e-17,-1.224646799147353e-17,-1.224646799147353e-17
0.5,0.0,-1.2246467991473554e-17,-1.2246467991473554e-17,-1.2246467991473554e-17
0.6000000000000001,0.0,-1.2246467991473505e-17,-1.2246467991473505e-17,-1.2246467991473505e-17
0.7000000000000001,0.0,-1.224646799147353e-17,-1.224646799147353e-17,-1.224646799147353e-17
0.8,0.0,-1.224646799147353e-17,-1.224646799147353e-17,-1.224646799147353e-17
0.9,0.0,-1.2246467991473554e-17,-1.2246467991473554e-17,-1.2246467991473554e-17
1.0,-2.689638552254753e-16,-1.2246467991473505e-17,-1.2246467991473505e-17,-1.2246467991473505e-17
1.1,1.80876836062787e-19,-1.2246467991473505e-17,-1.2246467991473505e-17,-1.2246467991473505e-17
1.2000000000000002,1.8063372203598458e-19,-1.2246467991473604e-17,-1.2246467991473604e-17,-1.2246467991473604e-17
1.3,1.8039109782894194e-19,-1.2246467991473505e-17,-1.2246467991473505e-17,-1.2246467991473505e-17
1.4000000000000001,-6.32431395148709e-19,-1.2246467991473554e-17,-1.2246467991473554e-17,-1.2246467991473554e-17
1.5,1.8099857717098134e-19,-1.2246467991473505e-17,-1.2246467991473505e-17,-1.2246467991473505e-17
1.6,1.8075521773951067e-19,-1.2246467991473604e-17,-1.2246467991473604e-17,-1.2246467991473604e-17
1.7000000000000002,1.805123487872875e-19,-1.2246467991473505e-17,-1.2246467991473505e-17,-1.2246467991473505e-17
1.8,1.8026996899696343e-19,-1.2246467991473554e-17,-1.2246467991473554e-17,-1.2246467991473554e-17
1.9000000000000001,-6.320063734737475e-19,-1.2246467991473505e-17,-1.2246467991473505e-17,-1.2246467991473505e-17
2.0,1.808768360628363e-19,-1.2246467991473604e-17,-1.2246467991473604e-17,-1.2246467991473604e-17
2.1,1.8063372203588597e-19,-1.2246467991473505e-17,-1.2246467991473505e-17,-1.2246467991473505e-17
2.2,1.8039109782894194e-19,-1.2246467991473505e-17,-1.2246467991473505e-17,-1.2246467991473505e-17
2.3000000000000003,-6.32431395148709e-19,-1.2246467991473505e-17,-1.2246467991473505e-17,-1.2246467991473505e-17
2.4000000000000004,1.8099857717103065e-19,-1.2246467991473554e-17,-1.2246467991473554e-17,-1.2246467991473554e-17
2.5,0.009522909980891673,-1.2246467991473505e-17,-1.2246467991473505e-17,-1.2246467991473505e-17
2.6,0.025663105103540952,-1.2246467991473505e-17,-1.2246467991473505e-17,-1.2246467991473505e-17
2.7,0.018085858288635792,-1.2246467991473505e-17,0.12892852673879757,-1.2246467991473505e-17
2.8000000000000003,0.04537181131976876,-1.2246467991473505e-17,0.14770334306496644,-1.2246467991473505e-17
2.9000000000000004,0.052529733500273096,0.04133674544197129,-0.00640647047530063,0.04133674544197129
3.0,0.05729314309530609,0.16983776993793237,0.12927506609884187,0.16983776993793237
3.1,0.060223013903785344,0.14294535866696922,0.09384806415036545,0.14294535866696922
3.2,0.08999738882006786,0.11484512313531081,0.06609946182762683,0.11484512313531081
3.3000000000000003,0.05738358996616383,-0.04856319981728474,0.04688881051288152,-0.04856319981728474
3.4000000000000004,0.06903713462839395,0.11809241326019265,0.03525373571577606,0.11809241326019265
3.5,0.03759086945293755,0.084601405888722,0.029022909220331683,0.084601405888722
3.6,0.01869373126259599,0.05750348736529842,0.11478471654316191,0.05750348736529842
