Time,Pure Pursuit,Stanley,Stanley with lookahead,Hybrid Stanley and Pure Pursuit
0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0
1.7000000000000002,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0
1.9000000000000001,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0
2.3000000000000003,0.0,0.0,0.0,0.0
2.4000000000000004,0.0,0.0,0.0,0.0
2.5,0.0,0.0,0.0,0.0
2.6,0.0,0.0,0.0,0.0
2.7,0.0,0.0,0.0,0.0
2.8000000000000003,0.0,0.0,0.0,0.0
2.9000000000000004,0.0,0.0,0.0,0.0
3.0,0.0,0.0,0.0,0.0
3.1,0.0,0.0,0.0,0.0
3.2,0.0,0.0,0.0,0.0
3.3000000000000003,0.0,0.0,0.0,0.0
3.4000000000000004,0.0,0.0,0.0,0.0
3.5,0.0,0.0,0.0,0.0
3.6,0.0,0.0,0.0,0.0
3.7,0.0,0.0,0.0,0.0
3.8000000000000003,0.0,0.0,0.0,0.0
3.9000000000000004,0.0,0.0,0.0,0.0
4.0,0.0,0.0,0.0,0.0
4.1000000000000005,0.0,0.0,0.0,0.0
4.2,0.0,0.0,0.0,0.0
4.3,0.0,0.0,0.0,0.0
4.4,0.0,0.0,0.0,0.0
4.5,0.0,0.0,0.0,0.0
4.6000000000000005,0.0,0.0,-0.0863178353100658,0.0
4.7,-0.0085235192161461,0.0,-0.0367317100288085,0.0
4.800000000000001,-0.010276485838501678,-0.02755783029464154,-0.10935558655450123,-0.02755783029464154
4.9,-0.030328279096125847,-0.11638096148549501,-0.0053767551284612525,-0.11638096148549501
5.0,-0.019251906971997787,-0.02955716302631292,-0.10375006311368595,-0.02955716302631292
5.1000000000000005,-0.04540581704243192,-0.1109691847410037,0.018155778320345872,-0.1109691847410037
5.2,-0.04990436205628111,-0.003642580293728326,-0.1015570978158809,-0.003642580293728326
5.300000000000001,-0.026425390903936835,-0.10681609258024,0.03601187809027645,-0.10681609258024
5.4,-0.05634491484455331,0.018043471842516423,-0.10150714841168296,0.018043471842516423
5.5,-0.055725039237365354,-0.10385229888840253,-0.07628313615346294,-0.10385229888840253
5.6000000000000005,-0.027521432990979422,-0.08292508031223966,-0.055391647206240124,-0.08292508031223966
5.7,-0.05649290830855963,-0.06326858181938344,-0.16329484008528095,-0.06326858181938344
5.800000000000001,-0.04949513958909052,-0.04657415915865282,0.47680870267700415,-0.04657415915865282
5.9,-0.02298556337751967,0.021320971453521076,0.08903744470904043,0.021320971453521076
6.0,-0.001143433694504481,0.2031293350967191,0.08978544298820329,0.2031293350967191
6.1000000000000005,0.011805989420531737,0.1278441065828973,0.09121164141612809,0.1278441065828973
6.2,0.014037896958720708,0.120234218337503,0.048304769822170454,0.120234218337503
6.300000000000001,0.038477281740392555,0.0841835293537668,0.09005968145359265,0.0841835293537668
6.4,0.025649579031236158,0.10802119747614092,0.024120865426682528,0.10802119747614092
6.5,0.05922745876954705,0.050912730662847704,0.092251871502478,0.050912730662847704
6.6000000000000005,0.03471078787904425,0.10578665396690873,0.003568221763042695,0.10578665396690873
6.7,0.07556694045059134,0.025262977059659852,0.09457588124304278,0.025262977059659852
6.800000000000001,0.04159899364970193,0.10473144234092877,0.08206517721706158,0.10473144234092877
6.9,0.08762914906498148,0.0027898404101046603,0.3890066265764499,0.0027898404101046603
7.0,0.08860923898970757,0.10329485174654729,-0.6454218671112835,0.10329485174654729
7.1000000000000005,0.087436737901702,-0.01701119901874565,0.1626296051844433,-0.01701119901874565
7.2,0.04389908224293333,0.1019068952783817,0.12997726984840718,0.1019068952783817
7.300000000000001,0.08816583577445711,0.08240345857352283,0.09885353749066017,0.08240345857352283
7.4,0.08200523361473425,0.06375691950739826,0.07161999982521383,0.06375691950739826
7.5,0.0750889737714136,-0.0810043490866903,0.050237747307750436,-0.0810043490866903
7.6000000000000005,0.06787889043530182,0.08648774728743913,0.03527155992419817,0.08648774728743913
7.7,0.060721693232884566,0.061995987348328896,0.025852726076655674,0.061995987348328896
7.800000000000001,0.05385067015547684,0.04271202825523723,0.02042129819737104,0.04271202825523723
7.9,0.04740472611175717,0.029287506388865125,0.0505581232565836,0.029287506388865125
8.0,0.05054685848706031,0.020930795734297902,0.0,0.020930795734297902
8.1,0.03371880292948681,0.009920979399451468,0.0,0.009920979399451468
