Time,Pure Pursuit,Stanley,Stanley with lookahead,Hybrid Stanley and Pure Pursuit
0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0
0.2,0.0,0.0,0.0,0.0
0.30000000000000004,0.0,0.0,0.0,0.0
0.4,0.0,0.0,0.0,0.0
0.5,0.0,0.0,0.0,0.0
0.6000000000000001,0.0,0.0,0.0,0.0
0.7000000000000001,0.0,0.0,0.0,0.0
0.8,0.0,0.0,0.0,0.0
0.9,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0
1.1,0.0,0.0,0.0,0.0
1.2000000000000002,0.0,0.0,0.0,0.0
1.3,0.0,0.0,0.0,0.0
1.4000000000000001,0.0,0.0,0.0,0.0
1.5,0.0,0.0,0.0,0.0
1.6,0.0,0.0,0.0,0.0
1.7000000000000002,0.0,0.0,0.0,0.0
1.8,0.0,0.0,0.0,0.0
1.9000000000000001,0.0,0.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0
2.1,0.0,0.0,0.0,0.0
2.2,0.0,0.0,0.0,0.0
2.3000000000000003,0.0,0.0,0.0,0.0
2.4000000000000004,0.0,0.0,0.0,0.0
2.5,-0.0036211508532704374,0.0,0.0,0.0
2.6,-0.013770537294922048,0.0,0.0,0.0
2.7,-0.02914351195164052,0.0,-0.05511782446919088,0.0
2.8000000000000003,-0.04860811123847224,0.0,-0.11690937300837441,0.0
2.9000000000000004,-0.07119065384554446,-0.017766619287819828,-0.16468952967174097,-0.017766619287819828
3.0,-0.0960553070581233,-0.08967514338468012,-0.20244694633630772,-0.08967514338468012
3.1,-0.12248398367999566,-0.14943997234804635,-0.2329554206370025,-0.14943997234804635
3.2,-0.1498591356080223,-0.19906724146830243,-0.25818157177417034,-0.19906724146830243
3.3000000000000003,-0.177650041732381,-0.24020432279348897,-0.2795277126165221,-0.24020432279348897
3.4000000000000004,-0.21264447772261463,-0.2742849534343003,-0.29799448539206674,-0.2742849534343003
3.5,-0.21818840556215305,-0.302572433805137,-0.3142964249223567,-0.302572433805137
3.6,-0.21210599085185142,-0.3261656044677594,0.7853981633974483,-0.3261656044677594
3.7,-0.1968027889182029,-0.345998072619094,-0.6935673823928996,-0.345998072619094
3.8000000000000003,-0.17434024349208174,0.7853981633974483,-0.3594235858467786,0.7853981633974483
3.9000000000000004,-0.1464226093633418,0.7853981633974483,-0.17244163112666647,-0.29566122247969273
4.0,-0.14544420863040883,0.7853981633974483,-0.04311531696789529,-0.25213975478694384
4.1000000000000005,-0.10810157656483922,-0.7853981633974483,0.05185272988004691,-0.2047386061423152
4.2,-0.06787172215960698,-0.7853981633974483,0.12345113376413157,-0.15473501651181984
4.3,-0.025900592460937868,-0.7779252853783128,0.17827862518040824,-0.10322523699782646
4.4,0.016857522218829146,-0.4363955788117904,0.22085189996116802,-0.05116626043838455
4.5,0.05960514296860525,-0.2020124905374267,0.2544548373895268,0.000602014922480076
4.6000000000000005,0.10167834872467481,-0.02180902690432729,0.2815149048781108,0.05134767730152449
4.7,0.14253098173422005,0.11789941665158929,0.16095980317715033,0.10044483969079625
4.800000000000001,0.18172307572426055,0.22427240293527076,0.2359185269880797,0.1473741464161223
4.9,0.21891127384834458,0.3031666457871208,0.28945150405227743,0.19172254389890622
5.0,0.253839894781807,0.3602145334175293,0.3277685994309294,0.2331805559111342
5.1000000000000005,0.2863319952023249,0.4007066467434644,0.355628026844215,0.2715365099736136
5.2,0.3162802469397007,0.42922302909780086,0.37649012898004247,0.4598361082205141
5.300000000000001,0.34363772078182353,0.4494034199829098,0.578389571962101,0.4638247887743603
5.4,0.3718767208463605,0.4639383695254635,0.3082311553438494,0.46809259537676845
5.5,0.39622494606599734,0.4747093153488798,0.7853981633974483,0.4724450812642707
5.6000000000000005,0.4170575756264342,0.48298002621977054,-0.00467963383647596,0.47676163910951674
5.7,0.4347398949755702,0.48957583182646397,0.351919245045507,0.3483530551915782
5.800000000000001,0.4496195028106873,0.500828892103369,0.655367630396589,0.5477086295204032
5.9,0.46202175660433487,0.5315818596354822,0.3414297881251083,0.5545725365080287
6.0,0.47224743223770776,0.549395847889516,0.4216114440349007,0.557374262696338
6.1000000000000005,0.47051293384636633,0.5588642871745049,0.7139537371878897,0.5578482034469752
6.2,0.48049538306703027,0.5632404028293401,0.15661237635608488,0.5570793544650944
6.300000000000001,0.48830762653412574,0.5646531200151684,0.7775278935514714,0.5557241997360514
6.4,0.4942856586487742,0.5644263129725651,0.37882414613349263,0.5541686660174021
6.5,0.4987232450437242,0.5633565330807666,0.6976059166029732,0.5526324021638243
6.6000000000000005,0.5018759662969805,0.5619119994614922,0.36354688745124236,0.35347046530873455
6.7,0.5002352842871413,0.5603622603741846,0.6920629625996958,0.3838808434416063
6.800000000000001,0.5029952707385814,0.5588585616603448,0.601869470942239,0.38199995583064295
6.9,0.5046422284869531,0.5574823548338355,0.5693119842598368,0.412897481381599
7.0,0.505400538603149,0.556274174395945,0.5569094424064808,0.43860933486468123
7.1000000000000005,0.505458209954298,0.5552507151596301,0.5533001633581671,0.45974426444194594
7.2,0.5037941412783786,0.5544149047949578,0.5537860832154375,0.4768778270593783
7.300000000000001,0.5035910364417701,0.5537618418625413,0.5561983760594945,0.4905427563247566
7.4,0.5028623082692476,0.5532822978269768,0.527762167148935,0.49355062205041994
7.5,0.5017492134189497,0.552964782882281,0.33698659440419676,0.48605308953918364
7.6000000000000005,0.4979348090393007,0.5527967631934855,0.20313872497236174,0.4745618897125436
7.7,0.48921164612274637,-0.38713791759628935,0.10958714023879873,0.458499151284568
